Net Status Report
Filename     : D:\Masterpiece\STM32F407MIni_System\PCB\STM32F407\STM32F407.PcbDoc
Date         : 2024/5/21
Time         : 10:46:45
Time Elapsed : 00:00:00

Nets, Layer, Length
    3V3, Signal Layers Only, 0mils
    5V, Signal Layers Only, 0mils
    BOOT0, Signal Layers Only, 0mils
    DN1, Signal Layers Only, 0mils
    DN2, Signal Layers Only, 0mils
    DP1, Signal Layers Only, 0mils
    DP2, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    NRST, Signal Layers Only, 0mils
    NetLED1_1, Signal Layers Only, 0mils
    NetLED2_1, Signal Layers Only, 0mils
    NetR2_2, Signal Layers Only, 0mils
    NetR3_2, Signal Layers Only, 0mils
    NetR5_2, Signal Layers Only, 0mils
    NetR7_2, Signal Layers Only, 0mils
    PA0, Signal Layers Only, 0mils
    PA1, Signal Layers Only, 0mils
    PA10, Signal Layers Only, 0mils
    PA11, Signal Layers Only, 0mils
    PA12, Signal Layers Only, 0mils
    PA13, Signal Layers Only, 0mils
    PA14, Signal Layers Only, 0mils
    PA15, Signal Layers Only, 0mils
    PA2, Signal Layers Only, 0mils
    PA3, Signal Layers Only, 0mils
    PA4, Signal Layers Only, 0mils
    PA5, Signal Layers Only, 0mils
    PA6, Signal Layers Only, 0mils
    PA7, Signal Layers Only, 0mils
    PA8, Signal Layers Only, 0mils
    PA9, Signal Layers Only, 0mils
    PB0, Signal Layers Only, 0mils
    PB1, Signal Layers Only, 0mils
    PB10, Signal Layers Only, 0mils
    PB11, Signal Layers Only, 0mils
    PB12, Signal Layers Only, 0mils
    PB13, Signal Layers Only, 0mils
    PB14, Signal Layers Only, 0mils
    PB15, Signal Layers Only, 0mils
    PB2, Signal Layers Only, 0mils
    PB3, Signal Layers Only, 0mils
    PB4, Signal Layers Only, 0mils
    PB5, Signal Layers Only, 0mils
    PB6, Signal Layers Only, 0mils
    PB7, Signal Layers Only, 0mils
    PB8, Signal Layers Only, 0mils
    PB9, Signal Layers Only, 0mils
    PC0, Signal Layers Only, 0mils
    PC1, Signal Layers Only, 0mils
    PC10, Signal Layers Only, 0mils
    PC11, Signal Layers Only, 0mils
    PC12, Signal Layers Only, 0mils
    PC13, Signal Layers Only, 0mils
    PC14, Signal Layers Only, 0mils
    PC15, Signal Layers Only, 0mils
    PC2, Signal Layers Only, 0mils
    PC3, Signal Layers Only, 0mils
    PC4, Signal Layers Only, 0mils
    PC5, Signal Layers Only, 0mils
    PC6, Signal Layers Only, 0mils
    PC7, Signal Layers Only, 0mils
    PC8, Signal Layers Only, 0mils
    PC9, Signal Layers Only, 0mils
    PD0, Signal Layers Only, 0mils
    PD1, Signal Layers Only, 0mils
    PD10, Signal Layers Only, 0mils
    PD11, Signal Layers Only, 0mils
    PD12, Signal Layers Only, 0mils
    PD13, Signal Layers Only, 0mils
    PD14, Signal Layers Only, 0mils
    PD15, Signal Layers Only, 0mils
    PD2, Signal Layers Only, 0mils
    PD3, Signal Layers Only, 0mils
    PD4, Signal Layers Only, 0mils
    PD5, Signal Layers Only, 0mils
    PD6, Signal Layers Only, 0mils
    PD7, Signal Layers Only, 0mils
    PD8, Signal Layers Only, 0mils
    PD9, Signal Layers Only, 0mils
    PE0, Signal Layers Only, 0mils
    PE1, Signal Layers Only, 0mils
    PE10, Signal Layers Only, 0mils
    PE11, Signal Layers Only, 0mils
    PE12, Signal Layers Only, 0mils
    PE13, Signal Layers Only, 0mils
    PE14, Signal Layers Only, 0mils
    PE15, Signal Layers Only, 0mils
    PE2, Signal Layers Only, 0mils
    PE3, Signal Layers Only, 0mils
    PE4, Signal Layers Only, 0mils
    PE5, Signal Layers Only, 0mils
    PE6, Signal Layers Only, 0mils
    PE7, Signal Layers Only, 0mils
    PE8, Signal Layers Only, 0mils
    PE9, Signal Layers Only, 0mils
    PH0, Signal Layers Only, 0mils
    PH1, Signal Layers Only, 0mils
    VBAT, Signal Layers Only, 0mils
    VCAP_1, Signal Layers Only, 0mils
    VCAP_2, Signal Layers Only, 0mils
    VDDA, Signal Layers Only, 0mils
    VIN, Signal Layers Only, 0mils
    VREF+, Signal Layers Only, 0mils
count : 103
