Altium Designer Pick and Place Locations
D:\Masterpiece\STM32F407Minimun_System\PCB\STM32F407\Project Outputs for STM32F407\Pick Place for STM32F407.csv

========================================================================================================================
File Design Information:

Date:       07/06/24
Time:       14:38
Revision:   1cc1f8998548dd0d402c4172f67e94c3cddbe750
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"USB2","TYPE-C 16P(073)","TopLayer","USB-C-SMD_TYPE-C16PIN_C668624","3480.000","2060.001","90","连接器类型:Type-C;标准:-;公母:母座;触点数量:16;端口数量:1;安装方式:卧贴;额定电流 - 电源:5A;工作温度范围:-25℃~+85℃;"
"USB1","TYPE-C 16P(073)","TopLayer","USB-C-SMD_TYPE-C16PIN_C668624","3475.000","1525.001","90","连接器类型:Type-C;标准:-;公母:母座;触点数量:16;端口数量:1;安装方式:卧贴;额定电流 - 电源:5A;工作温度范围:-25℃~+85℃;"
"R7","1K","TopLayer","R_0402_L","3294.841","2139.998","0",""
"R5","1K","TopLayer","R_0402_L","3294.841","2004.998","0",""
"R3","1K","TopLayer","R_0402_L","3252.682","1664.998","0",""
"R2","1K","TopLayer","R_0402_L","3252.682","1475.005","0",""
"R1","NTCG163JF103FT1S","TopLayer","R0603","3294.842","1778.462","0","阻值(25℃):10kΩ;电阻精度:±1%;B值精度:±1%;B值(25℃/50℃):3380K;功率:100mW;最大稳态电流(25℃):310uA;B值(25℃/75℃):3422K;B值(25℃/85℃):3435K;B值(25℃/100℃):3453K;工作温度:-40℃~+150℃;"
"Y1","32.768KHz","TopLayer","FC135-3.2X1.5","1903.581","1499.446","315",""
"Y2","8M","TopLayer","OSC_3225-4P","2006.784","1352.750","315","4脚无源晶振"
"U2","RT9013-33","TopLayer","SOT23-5N","3118.785","2075.000","0",""
"U1","CH340E","TopLayer","MSOP10_L","3181.840","1570.159","90",""
"U3","STM32F407VET6","TopLayer","LQFP100_14x14_N","2375.005","1789.995","315",""
"R15","10K","TopLayer","R_0402_L","1492.715","1614.998","0",""
"R13","4.7K","TopLayer","R_0402_L","3479.814","2364.939","0",""
"R12","4.7K","TopLayer","R_0402_L","3480.002","1170.002","180",""
"R6","0R","TopLayer","R_0402_L","3294.844","2050.002","180",""
"R4","0R","TopLayer","R_0402_L","3294.844","2095.002","180",""
"R10","0R","TopLayer","R_0402_L","2335.642","1252.282","90",""
"R9","0R","TopLayer","R_0402_L","2381.131","1252.282","90",""
"R14","10K","TopLayer","R_0402_L","1574.998","1614.998","0",""
"R11","10K","TopLayer","R_0402_L","1575.002","1410.002","180",""
"R8","1M","TopLayer","R_0402_L","2113.672","1480.519","315",""
"LED1","LED","TopLayer","LED_0603","3500.000","2305.315","180",""
"LED2","LED","TopLayer","LED_0603","3495.000","1235.000","0",""
"KEY3","KEY","TopLayer","SWT3*4","1535.000","1512.500","180",""
"BOOT0","KEY","TopLayer","SWT3*4","1535.000","1715.000","180",""
"KEY1","KEY","TopLayer","SWT3*4","1535.000","1310.000","180",""
"JP3","SWD","TopLayer","HDR2.54-WS-4P","1590.000","2040.000","90",""
"JP2","Header 2x22","BottomLayer","HDR2.54-LI-2x22P","2515.000","1015.000","180","2x22P接插件"
"JP1","Header 2x22","BottomLayer","HDR2.54-LI-2x22P","2515.000","2510.000","180","2x22P接插件"
"E2","10uF","TopLayer","CD_A(3216)","3195.000","2205.000","0","贴片钽电容"
"E1","10uF","TopLayer","CD_A(3216)","3131.040","1860.000","0","贴片钽电容"
"D1","1N4007","TopLayer","SOD-123","3139.485","1778.462","180","整流二极管"
"C3","0.1uF","TopLayer","C_0402_L","3192.285","2265.002","180",""
"C2","0.1uF","TopLayer","C_0402_L","3101.511","1958.885","180",""
"C1","0.1uF","TopLayer","C_0402_L","3150.002","1475.002","180",""
"C8","0.1uF","TopLayer","C_0402_L","2290.156","1252.285","270",""
"C13","0.1uF","TopLayer","C_0402_L","2060.002","1535.000","135",""
"C12","0.1uF","TopLayer","C_0402_L","2847.475","1702.527","315",""
"C11","0.1uF","TopLayer","C_0402_L","2500.000","1340.002","225",""
"C10","0.1uF","TopLayer","C_0402_L","1935.000","1914.998","45",""
"C9","0.1uF","TopLayer","C_0402_L","2459.998","2260.000","315",""
"C15","2.2uF","TopLayer","C_0402_L","2520.000","2225.002","225",""
"C14","2.2uF","TopLayer","C_0402_L","2815.002","1670.000","135",""
"C16","0.1uF","TopLayer","C_0402_L","1492.715","1409.998","0",""
"C7","10pF","TopLayer","C_0402_L","1980.002","1510.000","135",""
"C4","10pF","TopLayer","C_0402_L","1914.998","1575.000","315",""
"C5","20pF","TopLayer","C_0402_L","2101.143","1388.871","135",""
"C6","20pF","TopLayer","C_0402_L","2042.166","1447.844","315",""
